streetAddress,zipcode,livingArea,Price,zpid,walk_score,transit_score,felony_count,misdemeanor_count,violation_count,population_per_1000,median_income,
178 E 54th St,11203,4020,700000,30652344,89,75,7415,10214,4475,79.499,61414,
253 E 51st St,11203,4020,700000,30651789,84,94,7415,10214,4475,79.499,61414,
249 E 52nd St,11203,4080,700000,30652332,89,75,7415,10214,4475,79.499,61414,
87 Wright St,10304,4438,700000,143698261,90,72,3367,6455,2878,43.849,64539,
41 Lincoln Rd,11225,4743,700000,30664366,92,100,4579,7680,2697,59.465,68542,
680 Jerome St,11207,4904,700000,30647100,71,100,14088,17544,6677,97.69,45616,
18918 89th Ave,11423,5000,700000,2092233043,80,95,1969,2658,942,30.983,69386,
353 Avenue T,11223,5213,700000,30735775,91,94,4282,7031,1942,83.565,57281,
30 Castleton Ave,10301,6120,700000,32273036,85,74,3648,7624,2999,38.736,78053,
515 Eldert Ln,11208,1258,700004,30644859,88,88,12008,15377,5263,107.724,49679,
596 Van Siclen Ave #6,11207,2040,700012,30641312,82,100,14088,17544,6677,97.69,45616,
630 Hendrix St,11207,2000,700085,30640987,76,100,14088,17544,6677,97.69,45616,
2539 96th St,11369,1050,700500,31960294,83,70,3675,7056,1754,31.55,66132,
1333 E 80th St,11236,2760,700500,30771664,39,71,7148,11138,4558,102.238,73562,
476 Union Ave #2A,11211,668,701000,2086933336,99,100,8129,10701,3129,65.925,89091,
2059 Strauss St,11212,1464,701000,30632444,75,100,12131,16236,7264,78.296,30733,
3207 Gunther Ave,10469,2620,701000,29830249,72,81,4703,8301,2858,75.29,70415,
9919 203rd St,11423,1208,701083,32153899,75,78,1969,2658,942,30.983,69386,
399 E 57th St,11203,2084,701301,30765887,78,71,7415,10214,4475,79.499,61414,
16413 107th Ave,11433,1740,701500,79729828,82,100,4530,7379,1942,41.396,68801,
8907 211th St,11427,1495,701518,32147948,73,74,1074,1654,643,25.89,84000,
16021 84th Ave,11432,1368,701841,32073476,83,100,5991,9091,2272,64.858,66246,
753 Barbey St,11207,2080,701882,82783098,71,100,14088,17544,6677,97.69,45616,
4116 247th St,11363,1080,702000,32093427,79,56,264,305,138,7.424,98111,
11435 116th St,11420,1536,702000,32172872,81,72,3699,5303,1883,51.831,89027,
795 Logan St,11208,1848,702000,30649893,80,100,12008,15377,5263,107.724,49679,
647 E 221st St,10467,2844,702000,29826517,85,95,10256,17424,5562,102.209,42639,
135 Dumont Ave,11212,1800,702040,30632482,75,100,12131,16236,7264,78.296,30733,
728 Hinsdale St,11207,1952,702216,30636362,78,100,14088,17544,6677,97.69,45616,
737 Commonwealth Ave,10473,2550,702246,29792623,83,62,5887,10085,3749,60.296,48212,
1247 E 86th St,11236,1920,702306,30771308,44,68,7148,11138,4558,102.238,73562,
"4015 7th Ave, Apt 20 #BROOKLYN",11232,850,702500,2077359305,88,94,2966,4762,1110,28.501,77031,
633 Ionia Ave,10312,1975,702500,32366001,47,55,1450,2839,1254,63.935,100875,
840 Cleveland St,11208,1960,702930,30647750,75,100,12008,15377,5263,107.724,49679,
22902 146th Ave,11413,1258,703000,32208312,28,59,3201,3906,1795,45.661,104236,
5831 Clearview Expy,11364,1683,703000,32085182,67,63,1601,1431,645,39.015,90970,
17012 Liberty Ave,11433,1760,703000,32140093,92,100,4530,7379,1942,41.396,68801,
11047 84th Ave,11418,1955,703000,32116375,43,85,2509,4743,1565,38.938,77708,
371 E 159th St,10451,2160,703000,29777773,91,100,8683,14900,4550,50.118,33945,
1144 Saint Lawrence Ave,10472,2200,703000,29794977,90,91,7129,10131,3764,66.72,36730,
18 Lamont Ct,11225,1184,703122,300075124,93,100,4579,7680,2697,59.465,68542,
2390 Ocean Pkwy,11223,2488,703179,30738974,90,90,4282,7031,1942,83.565,57281,
232 E 118th St,10035,815,703250,89330525,96,100,7581,14927,2969,37.042,32555,
10436 126th St,11419,1492,703500,32127815,90,77,3567,5027,2000,50.107,84245,
898 Jerome St,11207,1944,703750,30648005,60,98,14088,17544,6677,97.69,45616,
8008 Cowles Ct,11379,1387,703800,31996497,80,64,1472,2357,803,39.805,88672,
817 Hollywood Ave,10465,1800,704000,79722165,79,59,3015,6081,2197,46.205,80245,
718 Sheldon Ave,10312,2042,704000,32368996,55,54,1450,2839,1254,63.935,100875,
194 Kearney Ave FLOOR 2,10465,2250,704000,2079237757,67,49,3015,6081,2197,46.205,80245,
660 Beck St,10455,2340,704000,29779981,87,100,7193,12297,3674,42.781,30741,
116 E 39th St,11203,2695,704000,30657995,81,88,7415,10214,4475,79.499,61414,
423 Hicks St APT 2E,11201,726,704043,116172271,94,100,8241,14624,3857,68.777,148282,
14448 69th Ave,11367,1710,704275,32068429,87,66,2147,3536,1346,42.362,71469,
1038 E 100th St,11236,1560,704363,30775434,79,88,7148,11138,4558,102.238,73562,
1800 Edenwald Ave,10466,2100,704504,29835752,85,81,6496,11266,4287,75.767,62918,
1311 Needham Ave,10469,2712,704725,29828710,81,80,4703,8301,2858,75.29,70415,
131 Dartmouth Loop,10306,500,705000,79736336,70,69,2306,5154,2279,55.805,88687,
225 Rector Pl APT 3E,10280,601,705000,145593825,99,100,221,340,141,8.582,178148,
4283 Hunter Street #4A,11101,640,705000,2087499087,95,100,6023,9759,3427,33.789,98920,
233 Bedford Ave #2,11211,703,705000,79721207,100,100,8129,10701,3129,65.925,89091,
21-24 30th Avenue #4C,11102,711,705000,2087140070,97,83,2225,3453,1320,27.876,95478,
8561 Dexter Ct,11421,980,705000,32105301,79,73,1671,3324,1085,42.704,76721,
5729 Waldron St,11368,982,705000,31975059,87,78,7152,10401,3314,116.469,62254,
8425 Doran Ave,11385,1000,705000,32017460,84,66,6596,11146,3311,109.111,77350,
2758 Morgan Ave,10469,1020,705000,29823570,82,82,4703,8301,2858,75.29,70415,
3144 70th St,11370,1080,705000,31954039,83,92,2563,3564,834,29.78,67241,
8537 Commonwealth Blvd,11426,1080,705000,32100256,78,62,898,1253,577,20.959,102818,
8627 258th St,11001,1142,705000,32104944,83,56,116,173,59,26.818,132344,
300 Fairbanks Ave,10306,1152,705000,32343949,37,65,2306,5154,2279,55.805,88687,
8332 266th St,11004,1170,705000,32104075,83,59,439,615,253,16.426,100174,
279 Garretson Ave,10305,1176,705000,32327003,79,70,1958,4006,1846,44.531,76833,
429 Beach 145th St,11694,1200,705000,219889519,27,49,1033,1978,780,22.432,88643,
416 Harold St,10314,1250,705000,32308143,39,50,3723,8850,3294,93.736,94578,
8939 211th St,11427,1290,705000,32147956,73,74,1074,1654,643,25.89,84000,
89-39 211th,11427,1290,705000,2081637524,73,74,1074,1654,643,25.89,84000,
7942 77th Ave,11385,1312,705000,32017849,79,62,6596,11146,3311,109.111,77350,
1135 123rd St,11356,1434,705000,32021942,92,59,1554,2920,1028,27.295,73318,
13137 132nd St,11420,1442,705000,32177391,39,62,3699,5303,1883,51.831,89027,
433 Amherst Ave,10306,1464,705000,32334399,58,65,2306,5154,2279,55.805,88687,
2540 Gillmore St,11369,1520,705000,31968330,37,66,3675,7056,1754,31.55,66132,
9 Palm Ct,11225,1530,705000,30656963,92,100,4579,7680,2697,59.465,68542,
24 Trent St,10308,1560,705000,32345740,73,64,766,1409,819,30.353,116082,
3020 81st St,11370,1600,705000,31953741,82,72,2563,3564,834,29.78,67241,
3111 98th St,11369,1600,705000,300308805,84,74,3675,7056,1754,31.55,66132,
8915 210th Pl,11427,1620,705000,32147856,73,74,1074,1654,643,25.89,84000,
10770 101st St,11417,1632,705000,32126159,86,82,2838,4172,1236,33.236,78498,
18 Eugene Pl,10312,1632,705000,32367135,59,58,1450,2839,1254,63.935,100875,
25 Morrison Ave,10310,1655,705000,32278270,86,60,1794,3431,1457,25.976,96161,
2228 Saint Raymond Ave,10462,1656,705000,29811499,94,92,5578,9030,3028,78.47,59032,
8528 112th St,11418,1709,705000,32116569,81,84,2509,4743,1565,38.938,77708,
1823 E 32nd St,11234,1759,705000,30783734,82,80,5551,8786,2903,94.254,86185,
1018 E 105th St,11236,1760,705000,30775632,72,89,7148,11138,4558,102.238,73562,
17632 133rd Rd,11434,1764,705000,32192455,78,72,7012,11046,3279,66.424,66546,
3006 Gunther Ave,10469,1800,705000,29830847,61,84,4703,8301,2858,75.29,70415,
3014 Gunther Ave,10469,1800,705000,29830851,61,84,4703,8301,2858,75.29,70415,
8415 116th St,11418,1804,705000,32116939,90,96,2509,4743,1565,38.938,77708,
2217 56th Dr,11234,1824,705000,30788676,61,74,5551,8786,2903,94.254,86185,
11 Glover St,10308,1824,705000,32349087,78,61,766,1409,819,30.353,116082,
85-61 Dexter,11421,1840,705000,2085367337,79,73,1671,3324,1085,42.704,76721,
433 Purdy Ave,10314,1888,705000,32290289,77,57,3723,8850,3294,93.736,94578,
7241 66th Pl,11385,1914,705000,32015317,92,71,6596,11146,3311,109.111,77350,
21477 Jamaica Ave,11428,1960,705000,32148441,89,82,1505,2310,807,21.184,83417,
1659 W 2nd St,11223,1964,705000,30720773,94,96,4282,7031,1942,83.565,57281,
1461 E 100th St,11236,2000,705000,30779342,73,65,7148,11138,4558,102.238,73562,
407 Buchanan Ave,10314,2016,705000,32291337,56,56,3723,8850,3294,93.736,94578,
1451 E 35th St,11234,2046,705000,30755215,89,81,5551,8786,2903,94.254,86185,
103 Covington Cir,10312,2140,705000,58578716,57,46,1450,2839,1254,63.935,100875,
8813 Rutledge Ave,11385,2150,705000,32019219,83,66,6596,11146,3311,109.111,77350,
10144 116th St,11419,2151,705000,32122569,85,82,3567,5027,2000,50.107,84245,
762 E 227th St,10466,2160,705000,29832082,91,88,6496,11266,4287,75.767,62918,
61 Burke Ave,10314,2181,705000,32317727,60,46,3723,8850,3294,93.736,94578,
161 Beach 3rd St,11691,2200,705000,32220789,41,44,6250,9127,4297,70.797,54877,
176 Lander Ave,10314,2202,705000,32304663,78,61,3723,8850,3294,93.736,94578,
4087 Edson Ave,10466,2240,705000,82786909,79,77,6496,11266,4287,75.767,62918,
301 Chelsea St,10307,2250,705000,32375985,49,53,678,1537,469,14.828,117469,
2078 Mayflower Ave,10461,2280,705000,29816957,40,90,4357,7747,2624,52.756,61087,
9720 163rd Ave,11414,2295,705000,300304602,63,54,1635,1891,765,30.915,86113,
1887 Harrison Ave,10453,2310,705000,29782137,90,100,6907,12377,4814,80.393,34860,
126 Seguine Ave,10309,2400,705000,32367758,55,60,1115,2261,881,35.832,107500,
15928 92nd St,11414,2423,705000,32215320,90,73,1635,1891,765,30.915,86113,
1374 Bristow St,10459,2500,705000,29783267,80,100,6887,11912,4046,51.303,36631,
62 Clinton Pl,10453,2500,705000,29786293,92,100,6907,12377,4814,80.393,34860,
107-70 101,11417,2500,705000,2089231038,86,82,2838,4172,1236,33.236,78498,
80 Fillmore St,10301,2530,705000,32271736,55,59,3648,7624,2999,38.736,78053,
19 Tanglewood Dr,10308,2550,705000,316676291,38,44,766,1409,819,30.353,116082,
19 Tanglewood Dr.,10308,2550,705000,2079614694,30,42,766,1409,819,30.353,116082,
13536 243rd St,11422,2604,705000,32206120,83,63,1828,2479,1309,34.063,95945,
17831 114th Rd,11434,2640,705000,323067775,66,72,7012,11046,3279,66.424,66546,
1226 Ward Ave,10472,2646,705000,29795910,92,94,7129,10131,3764,66.72,36730,
3618 Avenue P,11234,2805,705000,30757091,88,81,5551,8786,2903,94.254,86185,
528 Durant Ave,10308,3100,705000,64849161,72,63,766,1409,819,30.353,116082,
718 New Lots Ave,11207,3120,705000,79718189,81,100,14088,17544,6677,97.69,45616,
75 27th Ave,11214,3180,705000,30730701,86,98,4219,8120,2493,95.361,58487,
2707 Decatur Ave,10458,3200,705000,29787679,91,100,8717,14920,4186,86.757,38768,
3312 Bronxwood Ave,10469,3288,705000,29826013,85,92,4703,8301,2858,75.29,70415,
1740 Adams St,10460,3400,705000,29812430,82,97,7177,12364,4242,59.979,31504,
3614 Baychester Ave,10466,3420,705000,29834506,85,80,6496,11266,4287,75.767,62918,
1339 Rosedale Ave,10472,3869,705000,29798097,91,100,7129,10131,3764,66.72,36730,
14545 106th Ave,11435,5000,705000,32137283,84,100,4707,6241,1831,60.842,71346,
97-20 163rd Ave,11414,6000,705000,2090693732,63,54,1635,1891,765,30.915,86113,
178-31 114th,11434,6000,705000,2089840455,68,73,7012,11046,3279,66.424,66546,
161 N 5th St,11211,6637,705000,216167891,100,100,8129,10701,3129,65.925,89091,
658 E 91st St,11236,2046,705023,30655331,83,78,7148,11138,4558,102.238,73562,
2473 E 2nd St,11223,2132,705179,30739464,89,89,4282,7031,1942,83.565,57281,
2115 Garrett Pl,10466,1411,705500,29834972,81,73,6496,11266,4287,75.767,62918,
79-74 77th Rd,11385,1400,705550,2080618569,81,63,6596,11146,3311,109.111,77350,
7974 77th Rd,11385,1400,705550,32017910,81,63,6596,11146,3311,109.111,77350,
1325 Estates Ln,11360,1190,705647,32055124,49,54,614,638,332,20.076,92851,
32 Chesterfield Ln,10314,2070,705800,63149358,36,59,3723,8850,3294,93.736,94578,
9919 24th Ave,11369,1224,706000,31952579,42,67,3675,7056,1754,31.55,66132,
916 E 221st St,10469,1282,706000,29827877,76,87,4703,8301,2858,75.29,70415,
1836 S Railroad Ave,10306,1500,706000,32337762,78,66,2306,5154,2279,55.805,88687,
16012 72nd Ave,11365,2500,706000,32072782,88,73,2369,3684,1032,45.439,73279,
8 Madison Ave,10314,2568,706000,32302833,75,63,3723,8850,3294,93.736,94578,
17702 106th Rd,11433,1600,706271,32142495,73,100,4530,7379,1942,41.396,68801,
1036 E 36th St,11210,1328,706299,30752852,82,94,4498,7125,2208,65.854,77378,
643 E 103rd St,11236,1872,706950,30773781,73,95,7148,11138,4558,102.238,73562,
20405 45th Rd,11361,1024,707000,32081292,78,68,1739,2122,752,30.006,93734,
4116 Quentin Rd,11234,1360,707000,30765142,93,81,5551,8786,2903,94.254,86185,
362 Brehaut Ave,10307,1377,707000,32375093,78,58,678,1537,469,14.828,117469,
2430 E 72nd St,11234,1517,707000,30783314,33,58,5551,8786,2903,94.254,86185,
1316 Edison Ave,10461,1964,707000,29841795,83,83,4357,7747,2624,52.756,61087,
97-30 110th,11419,2000,707000,2087291847,83,87,3567,5027,2000,50.107,84245,
9730 110th St,11419,2016,707000,32121042,83,87,3567,5027,2000,50.107,84245,
2016 Continental Ave,10461,2070,707000,29817034,87,90,4357,7747,2624,52.756,61087,
18 Carnegie Ave,10314,2238,707000,32310472,77,58,3723,8850,3294,93.736,94578,
2133 E 71st St,11234,2681,707000,30782595,74,70,5551,8786,2903,94.254,86185,
182 Beach 118th St,11694,2905,707000,32226761,86,84,1033,1978,780,22.432,88643,
7934 257th St,11004,3400,707000,32102065,89,63,439,615,253,16.426,100174,
369 Sleight Ave,10307,1405,707137,32375714,68,58,678,1537,469,14.828,117469,
2221 Utica Ave,11234,2614,707230,30765346,91,79,5551,8786,2903,94.254,86185,
11 Miami Ct,11225,960,707311,30656986,92,100,4579,7680,2697,59.465,68542,
4336 247th St,11363,1080,707500,32093367,80,59,264,305,138,7.424,98111,
2963 Lafayette Ave,10465,1332,707500,29844686,90,61,3015,6081,2197,46.205,80245,
3 E 88th St,11236,2165,707500,30653831,87,74,7148,11138,4558,102.238,73562,
292 Bolton Ave,10473,2200,707500,29790629,58,61,5887,10085,3749,60.296,48212,
24311 132nd Rd,11422,1128,707533,32201425,83,59,1828,2479,1309,34.063,95945,
43 Conrad Ave,10314,1800,707683,64895099,24,44,3723,8850,3294,93.736,94578,
268 Fieldston Ter,10471,2360,707683,89067063,63,80,1350,1799,564,23.387,96368,
10718 170th St,11433,1860,707784,32140601,85,100,4530,7379,1942,41.396,68801,
4225 Monticello Ave,10466,1260,707980,29837962,65,70,6496,11266,4287,75.767,62918,
2818 56th Pl,11377,1083,708000,31951227,89,88,4741,7506,2685,85.255,66325,
5050 206th St,11364,1088,708000,32083339,64,68,1601,1431,645,39.015,90970,
133-24 41st Ave #3B,11355,1212,708000,2077491868,100,100,4105,4926,1788,80.918,46963,
14452 68th Ave,11367,1224,708000,32066470,53,71,2147,3536,1346,42.362,71469,
72-24 72nd Pl,11385,1258,708000,2077226590,90,58,6596,11146,3311,109.111,77350,
8273 165th St,11432,1360,708000,32077335,72,99,5991,9091,2272,64.858,66246,
2449 Stuart St,11229,1660,708000,30793103,81,57,4141,6429,1693,85.538,69076,
57 Greeley Ave,10306,2100,708000,32330057,77,70,2306,5154,2279,55.805,88687,
555 Edgegrove Ave,10312,2150,708000,32365554,46,53,1450,2839,1254,63.935,100875,
18 Elwood Pl,10301,2688,708000,32273938,59,59,3648,7624,2999,38.736,78053,
460 Swinton Ave,10465,2790,708000,29848747,80,54,3015,6081,2197,46.205,80245,
204 Arlington Ave,11207,3336,708000,30637864,85,92,14088,17544,6677,97.69,45616,
3954 Victory Blvd,10314,3684,708000,32317149,60,46,3723,8850,3294,93.736,94578,
2842 W 35th St #4,11224,3160,708354,30732933,67,48,5359,8812,2819,48.11,37241,
9912 196th St,11423,2536,708400,32153754,66,82,1969,2658,942,30.983,69386,
1266 Blake Ave,11208,2168,708438,30646274,73,98,12008,15377,5263,107.724,49679,
267 Locust Ave,10306,1332,708500,32330868,92,71,2306,5154,2279,55.805,88687,
1266 59th St #3B,11219,1040,708621,55677383,80,89,3547,5492,1379,93.119,44450,
8 Brighton 3rd Pl,11235,1323,708749,30789182,96,92,4749,7226,1987,84.859,58669,
668 Jefferson Pl,10456,2388,708825,29782907,83,99,10380,17110,6731,90.314,31166,
480 Doane Ave,10308,2192,708831,32352062,66,60,766,1409,819,30.353,116082,
6538 Austin St #3K,11374,897,709000,2090876372,75,100,1560,3710,919,47.019,79221,
1670 Norman St APT 3F,11385,940,709000,32011347,96,96,6596,11146,3311,109.111,77350,
1924 Kimball St,11234,1100,709000,30785297,82,81,5551,8786,2903,94.254,86185,
100-05 205th Pl,11412,1250,709000,2085507107,79,77,2727,3683,1414,41.782,93429,
2722 99th St,11369,1260,709000,31960614,84,74,3675,7056,1754,31.55,66132,
949 E 221st St,10469,1315,709000,29827919,75,85,4703,8301,2858,75.29,70415,
1366 Kearney Ave,10465,1458,709000,29843290,60,75,3015,6081,2197,46.205,80245,
97 Duer Ave,10305,1500,709000,299997010,58,67,1958,4006,1846,44.531,76833,
926 E 221st St,10469,1600,709000,29827882,76,87,4703,8301,2858,75.29,70415,
265 Adelaide Ave,10306,1650,709000,32343222,61,67,2306,5154,2279,55.805,88687,
924 E 221st St,10469,1768,709000,29827881,76,87,4703,8301,2858,75.29,70415,
721 E 218th St,10467,1900,709000,29826843,87,93,10256,17424,5562,102.209,42639,
1112 E 180th St,10460,2100,709000,29812371,82,97,7177,12364,4242,59.979,31504,
6255 De Costa Ave,11692,2200,709000,2081628942,47,66,1883,2692,1202,24.639,53498,
472 Ashland Ave,10309,2209,709000,32370631,51,53,1115,2261,881,35.832,107500,
721 E 218th St #1,10467,2320,709000,2079680786,87,93,10256,17424,5562,102.209,42639,
721 E 218th St #1,10467,2320,709000,2079680786,87,93,10256,17424,5562,102.209,42639,
27 Tanglewood Dr,10308,2550,709000,316676294,30,42,766,1409,819,30.353,116082,
767 Maple St,11203,1800,709066,30657356,91,100,7415,10214,4475,79.499,61414,
9425 110th St,11419,2138,709500,32121093,84,87,3567,5027,2000,50.107,84245,
433 E 141st St,10454,2160,709985,29776905,91,100,6349,10685,3263,38.908,21846,
3 Weehawken St APT 2A,10014,430,710000,79978686,99,100,5176,6572,1334,29.815,136559,
108 E 37th St,10016,550,710000,31507298,100,100,4911,7448,1911,56.758,136431,
14941 Tahoe St,11417,650,710000,32170634,74,83,2838,4172,1236,33.236,78498,
11 W 69th St APT 3D,10023,700,710000,89711696,94,100,3927,8490,1718,65.891,136109,
107-24 71st #9A,11375,715,710000,2080733923,100,100,2691,6747,1430,76.091,96321,
300 East 59th St #2603,10022,840,710000,2084888248,100,100,4652,5822,1253,33.303,156255,
2439 83rd St,11370,858,710000,2132891577,82,70,2563,3564,834,29.78,67241,
2439 83rd St,11370,858,710000,31952667,82,70,2563,3564,834,29.78,67241,
10908 Lefferts Blvd,11420,956,710000,32171184,86,79,3699,5303,1883,51.831,89027,
10544 63rd Ave,11375,960,710000,31978243,87,92,2691,6747,1430,76.091,96321,
206 Bay 29th St #2A,11214,970,710000,2091969393,93,81,4219,8120,2493,95.361,58487,
170 West St #101,11222,972,710000,2096645908,93,84,3536,4938,1673,39.669,110385,
43-18 Main St #8E,11355,1028,710000,2079111819,96,86,4105,4926,1788,80.918,46963,
16236 12th Ave,11357,1050,710000,32029020,49,49,1587,1940,829,44.03,88580,
14 Leslie Ave,10305,1092,710000,32324663,84,74,1958,4006,1846,44.531,76833,
194 Buffalo Ave,11213,1100,710000,30596286,85,100,7022,10632,4021,69.392,48896,
1250 Avenue Y #2D,11235,1130,710000,30748700,91,91,4749,7226,1987,84.859,58669,
2235 W 7th St,11223,1140,710000,30737576,91,99,4282,7031,1942,83.565,57281,
8331 266th St,11004,1140,710000,32104088,83,58,439,615,253,16.426,100174,
1236 Diane Pl,11360,1190,710000,32055284,53,55,614,638,332,20.076,92851,
574 New York Ave,11225,1200,710000,30656929,94,100,4579,7680,2697,59.465,68542,
62 W 9th St,11231,1200,710000,30573327,79,80,3064,4551,1109,40.311,121638,
103-16 115th,11419,1200,710000,2081094040,51,94,3567,5027,2000,50.107,84245,
242 Sinclair Ave,10312,1216,710000,62724135,31,51,1450,2839,1254,63.935,100875,
902 Broadway,11206,1216,710000,30601827,98,98,10321,16686,5352,90.903,49013,
14447 73rd Ave,11367,1224,710000,32068844,90,71,2147,3536,1346,42.362,71469,
5040 Clearview Expy,11364,1224,710000,32083299,70,69,1601,1431,645,39.015,90970,
2235 W 5th St,11223,1237,710000,30737610,92,99,4282,7031,1942,83.565,57281,
13315 131st Ave,11420,1248,710000,32177181,28,62,3699,5303,1883,51.831,89027,
208-10 Robert Road #2,11360,1250,710000,2084082035,53,55,614,638,332,20.076,92851,
101 Center St,10306,1258,710000,32339488,59,49,2306,5154,2279,55.805,88687,
2148 E 22nd St,11229,1280,710000,30744709,96,80,4141,6429,1693,85.538,69076,
3125 93rd St,11369,1284,710000,31961785,91,77,3675,7056,1754,31.55,66132,
4332 247th St,11363,1300,710000,32093369,80,59,264,305,138,7.424,98111,
6917 66th St,11385,1308,710000,32013774,88,80,6596,11146,3311,109.111,77350,
11459 227th St,11411,1320,710000,32164728,58,60,1164,1655,626,21.605,108131,
8952 70th Rd,11375,1328,710000,32020102,90,76,2691,6747,1430,76.091,96321,
2834 Ford St APT 1R,11235,1342,710000,2101847306,79,65,4749,7226,1987,84.859,58669,
13736 97th St,11417,1360,710000,32170429,76,82,2838,4172,1236,33.236,78498,
8041 259th St,11004,1362,710000,32102598,83,63,439,615,253,16.426,100174,
7309 Utopia Pkwy,11366,1364,710000,323055522,76,71,609,847,288,13.922,100781,
2035 W 5th St,11223,1380,710000,30735625,94,99,4282,7031,1942,83.565,57281,
24 Dictum Ct,11229,1392,710000,30794373,72,58,4141,6429,1693,85.538,69076,
19 Elmira Ave,10314,1404,710000,32281556,69,59,3723,8850,3294,93.736,94578,
5920 164th St,11365,1428,710000,32071291,68,70,2369,3684,1032,45.439,73279,
7809 86th St,11385,1438,710000,32018961,73,66,6596,11146,3311,109.111,77350,
1218 E 87th St,11236,1440,710000,30771324,51,72,7148,11138,4558,102.238,73562,
9263 218th St,11428,1469,710000,32151356,80,80,1505,2310,807,21.184,83417,
7861 79th Pl,11385,1476,710000,32018354,79,60,6596,11146,3311,109.111,77350,
117 Armstrong Ave,10308,1480,710000,32349239,75,61,766,1409,819,30.353,116082,
442 W 258th St,10471,1482,710000,29853433,88,68,1350,1799,564,23.387,96368,
16018 84th Dr,11432,1494,710000,32132148,80,100,5991,9091,2272,64.858,66246,
16018 84th Rd,11432,1500,710000,32132241,83,100,5991,9091,2272,64.858,66246,
234 Grimsby St,10306,1500,710000,64784035,70,61,2306,5154,2279,55.805,88687,
90-45 144th Pl,11435,1500,710000,2079141733,96,100,4707,6241,1831,60.842,71346,
2018 Ryder St,11234,1504,710000,30785992,84,81,5551,8786,2903,94.254,86185,
2139 Coleman St,11234,1506,710000,30786776,89,78,5551,8786,2903,94.254,86185,
8811 54th Ave,11373,1508,710000,31972242,96,100,6586,12244,2757,102.104,62072,
36 Van Corlear Pl,10463,1528,710000,31554105,93,91,5170,11242,2836,73.256,63048,
14156 73rd Ter,11367,1530,710000,32067793,90,75,2147,3536,1346,42.362,71469,
51 Champlain Ave,10306,1533,710000,32343636,70,67,2306,5154,2279,55.805,88687,
2372 E 16th St,11229,1540,710000,30746721,93,84,4141,6429,1693,85.538,69076,
10201 Avenue L,11236,1540,710000,30776601,68,81,7148,11138,4558,102.238,73562,
104-40 200th St,11412,1576,710000,2077068706,78,74,2727,3683,1414,41.782,93429,
6434 Grand Central Pkwy APT 3A,11375,1600,710000,112512970,21,89,2691,6747,1430,76.091,96321,
6625 52nd Ave,11378,1600,710000,31982778,71,79,2285,3230,1115,39.994,85464,
12075 131st St,11420,1600,710000,32176607,72,62,3699,5303,1883,51.831,89027,
245 Moreland,10306,1610,710000,2077874572,75,66,2306,5154,2279,55.805,88687,
171 Keiber Ct,10314,1616,710000,32281678,75,60,3723,8850,3294,93.736,94578,
2277 E 28th St,11229,1632,710000,30746448,93,75,4141,6429,1693,85.538,69076,
2543 72nd St,11370,1632,710000,31951691,80,81,2563,3564,834,29.78,67241,
197 Spratt Ave,10306,1660,710000,32344682,39,66,2306,5154,2279,55.805,88687,
9257 217th St,11428,1661,710000,32149270,80,80,1505,2310,807,21.184,83417,
8928 216th St,11427,1675,710000,32150191,76,77,1074,1654,643,25.89,84000,
1712 Libby Pl,10461,1680,710000,29815487,83,91,4357,7747,2624,52.756,61087,
2018 Bragg St,11229,1680,710000,30744161,88,76,4141,6429,1693,85.538,69076,
1667 Astor Ave,10469,1680,710000,29820235,39,82,4703,8301,2858,75.29,70415,
10316 115th St,11419,1681,710000,32125344,90,82,3567,5027,2000,50.107,84245,
3227 Waterbury Ave,10465,1694,710000,29843122,54,65,3015,6081,2197,46.205,80245,
21 Dierauf St,10312,1694,710000,32359017,44,62,1450,2839,1254,63.935,100875,
5113 63rd St,11377,1710,710000,31981099,68,86,4741,7506,2685,85.255,66325,
8638 144th St,11435,1720,710000,32130913,89,100,4707,6241,1831,60.842,71346,
17 Greeley Ave,10306,1734,710000,32330035,75,70,2306,5154,2279,55.805,88687,
3016 82nd St,11370,1738,710000,31953783,82,72,2563,3564,834,29.78,67241,
13939 86th Ave,11435,1740,710000,32130625,88,100,4707,6241,1831,60.842,71346,
75 Bay 20th St,11214,1742,710000,30712224,73,100,4219,8120,2493,95.361,58487,
14444 87th Rd,11435,1758,710000,32130302,95,100,4707,6241,1831,60.842,71346,
3806 Avenue R,11234,1760,710000,30784196,88,81,5551,8786,2903,94.254,86185,
25 Echo Pl,10314,1764,710000,32302282,66,62,3723,8850,3294,93.736,94578,
32-06 100th St E,11369,1764,710000,2077805292,87,76,3675,7056,1754,31.55,66132,
30 Bolivar St,10314,1820,710000,32288870,72,51,3723,8850,3294,93.736,94578,
7606 25th Ave,11370,1831,710000,31951766,83,72,2563,3564,834,29.78,67241,
2426 78th St,11370,1831,710000,31951424,79,68,2563,3564,834,29.78,67241,
1719 Ocean Ave #3,11230,1849,710000,30753832,89,88,3443,5521,1620,91.789,61017,
2478 Elm Pl,10458,1876,710000,29784077,98,100,8717,14920,4186,86.757,38768,
155 Summit Pl,10463,1896,710000,29787216,87,100,5170,11242,2836,73.256,63048,
276 Manhattan St,10307,1900,710000,32375932,47,52,678,1537,469,14.828,117469,
17101 108th Ave,11433,1904,710000,32140649,82,100,4530,7379,1942,41.396,68801,
93 Renwick Ave,10301,1932,710000,32288130,66,64,3648,7624,2999,38.736,78053,
