Zipcode,MedianIncome,ErrorMargin
13305,43523,22230
13308,75018,7199
13309,63306,9636
13310,62857,22460
13312,75231,7903
13313,40833,13139
13315,66413,14889
13316,56582,11170
13317,56271,7873
13318,76295,6303
13319,53456,28183
13320,66750,8107
13321,50798,3239
13322,80609,5026
13323,76032,10972
13324,66974,9277
13325,65000,8577
13326,73889,10131
13327,60750,10680
13328,81898,28631
13329,48945,7602
13331,61607,19760
13332,57232,6743
13333,53636,25082
13334,57778,20436
13335,50694,14904
13337,97670,5938
13338,45455,21219
13339,51506,8632
13340,62206,6699
13342,63958,24811
13343,62969,4360
13345,92778,67337
13346,54966,20720
13348,71468,2844
13350,54792,7763
13354,78388,7158
13355,62917,56686
13357,60908,9249
13360,92857,72690
13361,72083,34940
13363,81357,6805
13364,70288,7678
13365,54940,8477
13367,59655,3829
13368,50880,5318
13402,66019,14642
13403,95700,8076
13404,45000,28392
13406,84861,16006
13407,65434,9491
13408,55556,13707
13409,61026,6892
13410,42500,36212
13411,52500,6241
13413,84262,7634
13415,52250,21037
13416,64000,14835
13417,48260,11424
13420,95700,11007
13421,55652,8070
13424,65875,12925
13425,55795,12915
13428,55677,14471
13431,78370,9279
13433,50417,8968
13435,54500,31584
13436,76875,31067
13437,56528,8686
13438,64583,11425
13439,50833,6312
13440,59486,3751
13450,53333,14966
13452,56307,7918
13454,78250,57005
13456,79625,8758
13459,59349,2855
13460,55422,5660
13461,80179,10103
13464,50377,2470
13468,50521,12370
13469,97361,24466
13470,50625,15374
13471,57035,4770
13473,87727,17067
13475,73542,53368
13476,64899,15715
13477,59922,38247
13478,66139,7346
13480,61964,6001
13482,39792,32249
13483,86976,21831
13485,61076,2526
13486,54514,18209
13488,44375,34429
13489,53333,11985
13490,79700,4679
13491,57156,5408
13492,77143,5949
13493,63333,14237
13494,66389,44999
13495,57581,5986
13501,44904,3658
13502,50220,3279
13601,53813,3086
13603,53392,3924
13605,67162,11769
13606,70833,26527
13607,49427,8068
13608,68450,8182
13611,49522,47068
13612,59063,15696
13613,52098,10938
13615,90978,21601
13616,44348,13190
13617,62692,10089
13618,58750,12686
13619,57343,6029
13620,53484,6494
13621,42031,25509
13622,68664,8495
13623,28750,26408
13624,74450,7096
13625,65781,11838
13626,70134,7110
13628,36458,16048
13630,47955,17045
13633,53333,21538
13634,66753,14837
13635,57292,15689
13636,56250,22230
13637,57899,2553
13640,70139,31116
13641,66250,36493
13642,41835,5192
13646,55441,11526
13648,51339,9999
13650,77554,17681
13651,105694,39917
13652,57936,5032
13654,54583,13401
13656,55000,17073
13658,69228,18978
13659,56094,7327
13660,65000,16892
13661,73690,7020
13662,57844,6749
13664,67000,18154
13665,57963,11795
13666,31833,11635
13667,42457,5918
13668,77986,13020
13669,56869,5111
13670,42250,25128
13672,62738,30455
